DATE,LFWA64TTJPM647S
12/1/1998,86706771.03
1/1/1999,86689580.88
2/1/1999,86671031.37
3/1/1999,86630811.68
4/1/1999,86639577.77
5/1/1999,86609628.23
6/1/1999,86562799.21
7/1/1999,86601161.85
8/1/1999,86665531.74
9/1/1999,86660996.43
10/1/1999,86599360.04
11/1/1999,86590766.82
12/1/1999,86612421.05
1/1/2000,86536820.82
2/1/2000,86583599.66
3/1/2000,86467480.15
4/1/2000,86521025.35
5/1/2000,86495201.35
6/1/2000,86450961.52
7/1/2000,86402076.1
8/1/2000,86364435.03
9/1/2000,86398147.52
10/1/2000,86353638.18
11/1/2000,86354753.04
12/1/2000,86379560.32
1/1/2001,86316372.08
2/1/2001,86234342.07
3/1/2001,86213700.29
4/1/2001,86211879.52
5/1/2001,86211917.45
6/1/2001,86146036.54
7/1/2001,86158340.66
8/1/2001,86114585.11
9/1/2001,86035651.42
10/1/2001,86085564.07
11/1/2001,86191046.35
12/1/2001,86148564.2
1/1/2002,85950015.63
2/1/2002,85926472.43
3/1/2002,85837510.91
4/1/2002,85714492.01
5/1/2002,85672389.64
6/1/2002,85734921.56
7/1/2002,85697702.94
8/1/2002,85629971.83
9/1/2002,85635159.11
10/1/2002,85610567.93
11/1/2002,85463221.02
12/1/2002,85427542.21
1/1/2003,85377867.98
2/1/2003,85340866.19
3/1/2003,85394881.22
4/1/2003,85281012.93
5/1/2003,85301017.28
6/1/2003,85438602.93
7/1/2003,85324072.28
8/1/2003,85265140.6
9/1/2003,85262364.36
10/1/2003,85202799.83
11/1/2003,85237487.19
12/1/2003,85179813.88
1/1/2004,85191817.61
2/1/2004,85098234.13
3/1/2004,85140543.6
4/1/2004,85282058.2
5/1/2004,85129628.75
6/1/2004,84926462.51
7/1/2004,84978868.28
8/1/2004,84979516.15
9/1/2004,84881282.88
10/1/2004,84813060.21
11/1/2004,84766904.65
12/1/2004,84779649.36
1/1/2005,84774670.12
2/1/2005,84743082.94
3/1/2005,84602515.09
4/1/2005,84574720.78
5/1/2005,84635392.27
6/1/2005,84511587.98
7/1/2005,84489950.12
8/1/2005,84455430.45
9/1/2005,84449762.41
10/1/2005,84381256.78
11/1/2005,84222674.74
12/1/2005,84187685.63
1/1/2006,84196148.21
2/1/2006,84170759.63
3/1/2006,84215267.15
4/1/2006,84052349.55
5/1/2006,84056356.48
6/1/2006,84051718.24
7/1/2006,83939483.17
8/1/2006,83830945.49
9/1/2006,83806370.74
10/1/2006,83752730.06
11/1/2006,83710607.14
12/1/2006,83547075.74
1/1/2007,83406752.49
2/1/2007,83438676.6
3/1/2007,83419210.55
4/1/2007,83412522.86
5/1/2007,83290353.6
6/1/2007,83306286.31
7/1/2007,83201168.33
8/1/2007,83090716.63
9/1/2007,83002742.95
10/1/2007,83031827.05
11/1/2007,83017891.14
12/1/2007,82994832.63
1/1/2008,82928748.37
2/1/2008,82839767.38
3/1/2008,82817448.66
4/1/2008,82802738.61
5/1/2008,82785661.78
6/1/2008,82722216.43
7/1/2008,82639456.66
8/1/2008,82537545.52
9/1/2008,82452262.77
10/1/2008,82353217.24
11/1/2008,82361952.59
12/1/2008,82341937.94
1/1/2009,82227860.58
2/1/2009,82108455.13
3/1/2009,82099672.21
4/1/2009,82091134.15
5/1/2009,82003055.99
6/1/2009,81905668.5
7/1/2009,81945037.03
8/1/2009,81935537.49
9/1/2009,81865283.6
10/1/2009,81748969.61
11/1/2009,81704724.04
12/1/2009,81666051.6
1/1/2010,81583684.95
2/1/2010,81519763.71
3/1/2010,81669655.23
4/1/2010,81546600.89
5/1/2010,81533661.27
6/1/2010,81517839.27
7/1/2010,81482968.72
8/1/2010,81542063.09
9/1/2010,81484017.78
10/1/2010,81406027.89
11/1/2010,81336000.43
12/1/2010,81375555.31
1/1/2011,81277958.24
2/1/2011,81318085.43
3/1/2011,80632961.25
4/1/2011,80586048.32
5/1/2011,80587408.54
6/1/2011,80509001.88
7/1/2011,80467921.44
8/1/2011,80212076.49
9/1/2011,81125050.18
10/1/2011,81151149
11/1/2011,81068451.06
12/1/2011,80960717.31
1/1/2012,80866776.69
2/1/2012,80826550.67
3/1/2012,80911505.74
4/1/2012,80881792.43
5/1/2012,80754787.11
6/1/2012,80597786.4
7/1/2012,80561783.03
8/1/2012,80444821.07
9/1/2012,80137266.24
10/1/2012,80074585.98
11/1/2012,79963437.83
12/1/2012,79808906.8
1/1/2013,79750753.02
2/1/2013,79729647.79
3/1/2013,79705080.72
4/1/2013,79651584.1
5/1/2013,79473340.21
6/1/2013,79139200.51
7/1/2013,79098036.52
8/1/2013,79116627.37
9/1/2013,79001226.6
10/1/2013,79023528.71
11/1/2013,78966605.97
12/1/2013,78814368.48
1/1/2014,78544520.97
2/1/2014,78485690.33
3/1/2014,78461969.68
4/1/2014,78314452.76
5/1/2014,78366448.93
6/1/2014,78274100.38
7/1/2014,78178103.43
8/1/2014,78027340.09
9/1/2014,78004640.38
10/1/2014,77921538.54
11/1/2014,77865082.13
12/1/2014,77806112.37
1/1/2015,77562194.26
2/1/2015,77540762.27
3/1/2015,77487611.71
4/1/2015,77343133.72
5/1/2015,77336098.4
6/1/2015,77418729.13
7/1/2015,77258849.05
8/1/2015,77141504.76
9/1/2015,77148344.54
10/1/2015,77082718.77
11/1/2015,76876904.64
12/1/2015,76913148.76
1/1/2016,76984000.62
2/1/2016,76728399.47
3/1/2016,76668972.07
4/1/2016,76619175.64
5/1/2016,76476887.2
6/1/2016,76560184.28
7/1/2016,76607963.59
8/1/2016,76571615.54
9/1/2016,76395382.87
10/1/2016,76330325.86
11/1/2016,76345620.37
12/1/2016,76371472.49
1/1/2017,76436018.41
2/1/2017,76189075.17
3/1/2017,76087438.29
4/1/2017,76236795.12
5/1/2017,76295074.38
6/1/2017,76199014.95
7/1/2017,76159719.95
8/1/2017,76128591.61
9/1/2017,76046952.69
10/1/2017,75861779.78
11/1/2017,75938238.47
12/1/2017,75861301.16
1/1/2018,75786596.73
2/1/2018,75841854.27
3/1/2018,75886888.6
4/1/2018,75961781.21
5/1/2018,75738643.93
6/1/2018,75652389.22
7/1/2018,75676360.33
8/1/2018,75618448.9
9/1/2018,75579240.67
10/1/2018,75573954.3
11/1/2018,75460354.6
12/1/2018,75323487.23
1/1/2019,75336467.59
2/1/2019,75361284.69
3/1/2019,75375914.04
4/1/2019,75463355.19
5/1/2019,75390124.27
6/1/2019,75349056.5
7/1/2019,75300330.76
8/1/2019,75258446.22
9/1/2019,75316767.61
10/1/2019,75330561.77
11/1/2019,75160459.99
12/1/2019,75097231.37
1/1/2020,75060609.24
2/1/2020,74995960.21
3/1/2020,75000913.75
4/1/2020,75016742.55
5/1/2020,75112767.73
6/1/2020,75117832.59
7/1/2020,74908934.54
8/1/2020,74887907
9/1/2020,74931244.53
10/1/2020,74964786.77
11/1/2020,75012979.82
12/1/2020,74839321.27
1/1/2021,74837034.44
2/1/2021,74758756.09
3/1/2021,74624833.36
4/1/2021,74663900.06
5/1/2021,74662712.92
6/1/2021,74590931.66
7/1/2021,74623017.73
8/1/2021,74589374.76
9/1/2021,74377138.32
10/1/2021,74166015.52
11/1/2021,74133922.37
12/1/2021,74212362.78
1/1/2022,74174772.87
2/1/2022,74071101.65
3/1/2022,74141995.38
4/1/2022,74322825.64
5/1/2022,74165877.58
6/1/2022,74087954.83
7/1/2022,74055761.93
8/1/2022,73973350.57
9/1/2022,74054137.99
10/1/2022,74008576.56
11/1/2022,73818472.46
12/1/2022,73835172.55
1/1/2023,73801181.1
2/1/2023,73573992.55
3/1/2023,73832592.23
4/1/2023,74127995.14
5/1/2023,74032582.84
6/1/2023,74111359.39
7/1/2023,74117630.3
8/1/2023,74019082.5
9/1/2023,73885577.37
